Company,District,Structural,Vehicle,Other,Checklists-Completed
Engine 5,1,14,2,5,21
Engine 9,1,7,12,3,20
Ladder 2,1,2,6,1,8
Engine 56,1,20,5,0,25
Ladder 21,1,14,3,0,17
Engine 4,3,9,4,0,10
Ladder 24,3,8,8,0,4
Engine 8,3,22,2,0,3
Ladder 1,3,21,0,0,20
Engine 32,3,13,0,1,12
Ladder 9,3,7,1,2,8
Engine 50,3,5,1,0,6
Engine 7,4,3,2,0,3
Ladder 17,4,12,4,0,14
Engine 3,4,16,5,3,12
Engine 22,4,4,6,2,0
W-25,4,0,3,0,1
HAZMAT,4,2,3,0,3
Engine 33,4,12,3,0,13
Ladder 15,4,15,4,0,15
Engine 39,6,21,2,5,28
Ladder 18,6,4,8,3,15
Engine 2,6,8,1,2,11
Ladder 19,6,6,0,6,12
Engine 10,6,3,0,1,4
Rescue 1,6,4,5,0,7
Ladder 3,6,6,4,0,8
Engine 29,11,14,3,2,16
Ladder 11,11,14,2,0,14
Engine 41,11,10,5,1,15
Ladder 14,11,2,1,0,3
Engine 51,11,5,1,1,5
